epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.57856,2.72425,3.88056,2.13745,0.00869,0.7375,0.08246,0.02471,2.65476,3.75087,1.92416,3.333e-05,3.333e-05,3.333e-05
2,3.27279,2.41168,3.7187,1.69464,0.0083,0.70625,0.07926,0.03544,2.3738,3.68148,1.71798,7.64868e-05,7.64868e-05,7.64868e-05
3,4.84808,1.96463,3.56584,1.49298,0.00882,0.7625,0.08503,0.04131,2.23852,3.64198,1.61284,0.000118177,0.000118177,0.000118177
4,6.41221,1.87823,3.61229,1.44371,0.01046,0.9375,0.30154,0.1852,1.7639,3.51184,1.30369,0.000158401,0.000158401,0.000158401
5,7.95297,1.47754,3.28036,1.22378,0.01064,0.9375,0.42821,0.26877,1.44626,3.45475,1.12924,0.000197158,0.000197158,0.000197158
6,9.5505,1.34563,3.35049,1.1747,0.01103,0.96875,0.46408,0.29144,1.27777,3.35965,1.00421,0.000234449,0.000234449,0.000234449
7,11.007,1.2785,3.09972,1.118,0.01103,0.96875,0.46408,0.29144,1.27777,3.35965,1.00421,0.000270273,0.000270273,0.000270273
8,12.5491,1.41127,3.04559,1.14696,0.01165,1,0.46095,0.28713,1.16056,3.28575,0.93695,0.000304631,0.000304631,0.000304631
9,14.1211,1.29157,2.83352,1.16916,0.01252,1,0.54207,0.37853,0.99057,3.1568,0.86787,0.000337522,0.000337522,0.000337522
10,15.7914,1.24596,2.5817,1.11204,0.01252,1,0.54207,0.37853,0.99057,3.1568,0.86787,0.000368946,0.000368946,0.000368946
11,17.3559,1.18175,2.45886,1.08864,0.01237,1,0.56886,0.36314,1.05396,3.03094,0.87636,0.000398905,0.000398905,0.000398905
12,18.8389,1.17663,2.45912,1.07,0.01237,1,0.56886,0.36314,1.05396,3.03094,0.87636,0.000427396,0.000427396,0.000427396
13,20.4575,1.15389,2.11534,1.07074,1,0.2167,0.52185,0.36262,1.0305,2.71606,0.90367,0.000454421,0.000454421,0.000454421
14,21.9724,1.20615,2.15419,1.12705,1,0.2167,0.52185,0.36262,1.0305,2.71606,0.90367,0.00047998,0.00047998,0.00047998
15,23.5162,1.3415,2.18565,1.24232,0.69006,0.35012,0.61433,0.42723,0.98406,2.3493,0.9697,0.000504072,0.000504072,0.000504072
16,25.1473,1.14124,2.01877,1.09058,0.69006,0.35012,0.61433,0.42723,0.98406,2.3493,0.9697,0.000526697,0.000526697,0.000526697
17,26.6662,1.29359,2.08717,1.21082,0.69006,0.35012,0.61433,0.42723,0.98406,2.3493,0.9697,0.000547856,0.000547856,0.000547856
18,28.2729,1.18002,1.87965,1.19019,0.423,0.6711,0.77121,0.4676,1.19776,2.04378,1.07334,0.000567549,0.000567549,0.000567549
19,29.8558,1.10702,1.69531,1.19468,0.423,0.6711,0.77121,0.4676,1.19776,2.04378,1.07334,0.000585775,0.000585775,0.000585775
20,31.386,1.23977,1.80857,1.19806,0.423,0.6711,0.77121,0.4676,1.19776,2.04378,1.07334,0.000602534,0.000602534,0.000602534
21,32.8509,1.34729,1.96219,1.22205,0.423,0.6711,0.77121,0.4676,1.19776,2.04378,1.07334,0.000617827,0.000617827,0.000617827
22,34.3278,1.1918,1.73961,1.14696,0.45479,0.925,0.84738,0.56823,1.05224,1.59687,0.95906,0.000631653,0.000631653,0.000631653
23,35.8985,1.11679,1.56848,1.11976,0.45479,0.925,0.84738,0.56823,1.05224,1.59687,0.95906,0.000644013,0.000644013,0.000644013
24,37.3957,1.17351,1.66865,1.14978,0.45479,0.925,0.84738,0.56823,1.05224,1.59687,0.95906,0.000654907,0.000654907,0.000654907
25,38.8671,1.22995,1.67105,1.13154,0.45479,0.925,0.84738,0.56823,1.05224,1.59687,0.95906,0.000664334,0.000664334,0.000664334
26,40.4372,1.22107,1.49225,1.18522,0.61749,0.88103,0.89495,0.64797,0.94335,1.42543,0.92408,0.000652712,0.000652712,0.000652712
27,41.9604,1.14432,1.4711,1.15284,0.61749,0.88103,0.89495,0.64797,0.94335,1.42543,0.92408,0.000634381,0.000634381,0.000634381
28,43.5017,1.01607,1.42628,1.10759,0.61749,0.88103,0.89495,0.64797,0.94335,1.42543,0.92408,0.000616049,0.000616049,0.000616049
29,45.217,1.11929,1.56473,1.12568,0.61749,0.88103,0.89495,0.64797,0.94335,1.42543,0.92408,0.000597718,0.000597718,0.000597718
30,46.96,1.08361,1.29975,1.10792,0.87404,0.925,0.97163,0.74508,0.91581,1.17276,0.96991,0.000579386,0.000579386,0.000579386
31,48.4701,1.11662,1.25721,1.17805,0.87404,0.925,0.97163,0.74508,0.91581,1.17276,0.96991,0.000561055,0.000561055,0.000561055
32,50.0244,1.05151,1.28009,1.06017,0.87404,0.925,0.97163,0.74508,0.91581,1.17276,0.96991,0.000542723,0.000542723,0.000542723
33,51.6634,1.00929,1.23609,1.09209,0.87404,0.925,0.97163,0.74508,0.91581,1.17276,0.96991,0.000524392,0.000524392,0.000524392
